Operation,Cost
Tsql_fileContext,0
BatchContext,0
TerminalNodeImpl2,0
ErrorNodeImpl,0
Create_databaseContext,1
Ddl_clauseContext,1
Sql_clauseContext,1
Bracket_expressionContext,1
ExpressionContext,1
Execute_bodyContext,1
Simple_idContext,1
IdContext,1
Full_column_nameContext,1
Go_statementContext,1
Func_proc_nameContext,1
ConstantContext,1
Primitive_expressionContext,1
Alter_server_roleContext,1
Sql_clausesContext,1
Use_statementContext,1
Another_statementContext,1
Table_nameContext,1
Drop_tableContext,1
Transaction_statementContext,1
Block_statementContext,1
Cfl_statementContext,1
If_statementContext,1
Alter_tableContext,1
PredicateContext,1
Search_condition_notContext,1
Search_condition_andContext,1
Search_conditionContext,1
Goto_statementContext,1
End_conversationContext,1
Conversation_statementContext,1
Null_notnullContext,1
Scalar_function_nameContext,1
SCALAR_FUNCTIONContext,1
Expression_listContext,1
Ddl_objectContext,1
Insert_statementContext,1
Dml_clauseContext,1
Full_table_nameContext,1
Table_value_constructorContext,1
Column_name_listContext,1
Insert_statement_valueContext,1
Column_def_table_constraintsContext,1
Create_tableContext,1
On_offContext,1
Index_optionContext,1
Table_constraintContext,1
Index_optionsContext,1
Column_def_table_constraintContext,1
Column_definitionContext,1
ClusteredContext,1
Column_name_list_with_orderContext,1
Data_typeContext,1
Delete_statementContext,1
Null_or_defaultContext,1
Constant_expressionContext,1
Delete_statement_fromContext,1
Create_indexContext,1
Set_specialContext,1
Set_statementContext,1
Table_name_with_hintContext,1
Column_constraintContext,1
On_deleteContext,1
Execute_statement_argContext,1
Empty_statementContext,1
Query_specificationContext,1
Query_expressionContext,1
Select_statementContext,1
Expression_elemContext,1
Select_list_elemContext,1
Select_listContext,1
As_column_aliasContext,1
Column_aliasContext,1
Column_elemContext,1
Table_source_itemContext,1
Table_source_item_joinedContext,1
Table_sourceContext,1
Table_sourcesContext,1
As_table_aliasContext,1
Table_aliasContext,1
Join_partContext,1
Comparison_operatorContext,1
CONVERTContext,1
Unary_operator_expressionContext,1
Execute_statementContext,1
Constant_LOCAL_IDContext,1
With_expressionContext,1
Common_table_expressionContext,1
Ranking_windowed_functionContext,1
RANKING_WINDOWED_FUNCContext,1
Over_clauseContext,1
Order_by_clauseContext,1
Order_by_expressionContext,1
Aggregate_windowed_functionContext,1
AGGREGATE_WINDOWED_FUNCContext,1
All_distinct_expressionContext,1
Group_by_itemContext,1
SubqueryContext,1
Update_statementContext,1
Update_elemContext,1
Declare_statementContext,1
Declare_localContext,1
Declare_cursorContext,1
Cursor_statementContext,1
Cursor_nameContext,1
Declare_set_cursor_commonContext,1
Fetch_cursorContext,1
While_statementContext,1
AsteriskContext,1
Create_viewContext,1
Simple_nameContext,1
Drop_viewContext,1
Top_clauseContext,1
Top_countContext,1
Sql_unionContext,1
Derived_tableContext,1
Search_condition_listContext,1
Create_or_alter_procedureContext,1
For_clauseContext,1
SignContext,1
Case_expressionContext,1
Switch_search_condition_sectionContext,1
Dbcc_clauseContext,1
Alter_databaseContext,1
Db_state_optionContext,1
Database_optionspecContext,1
Backup_databaseContext,1
Backup_statementContext,1
Switch_sectionContext,1
Table_type_definitionContext,1
Drop_typeContext,1
Create_typeContext,1
Default_valueContext,1
File_specContext,1
Database_file_specContext,1
File_sizeContext,1
Sql_optionContext,1
Auto_optionContext,1
Cursor_optionContext,1
Service_broker_optionContext,1
Date_correlation_optimization_optionContext,1
External_access_optionContext,1
Snapshot_optionContext,1
Parameterization_optionContext,1
Recovery_optionContext,1
Db_user_access_optionContext,1
Database_filestream_optionContext,1
Target_recovery_time_optionContext,1
Delayed_durability_optionContext,1
Db_update_optionContext,1
File_groupContext,1
Table_optionsContext,1
Materialized_column_definitionContext,1
CASTContext,1
Create_or_alter_functionContext,1
Procedure_paramContext,1
Func_body_returns_selectContext,1
Func_body_returns_scalarContext,1
Func_body_returns_tableContext,1
Drop_functionContext,1
Drop_indexContext,1
Drop_backward_compatible_indexContext,1
Drop_relational_or_xml_or_spatial_indexContext,1
Drop_procedureContext,1
Print_statementContext,1
OpenqueryContext,1
Rowset_function_limitedContext,1
OpendatasourceContext,1
Output_clauseContext,1
Output_column_nameContext,1
Output_dml_list_elemContext,1
Insert_with_table_hintsContext,1
Table_hintContext,1
Rowset_functionContext,1
Bulk_optionContext,1
Merge_statementContext,1
Column_alias_listContext,1
Merge_matchedContext,1
Merge_not_matchedContext,1
Udt_elemContext,1
Udt_method_argumentsContext,1
Execute_var_stringContext,1
With_table_hintsContext,1
Index_valueContext,1
Option_clauseContext,1
OptionContext,1
Top_percentContext,1
Pivot_clauseContext,1
Unpivot_clauseContext,1
Full_column_name_listContext,1
Open_xmlContext,1
Column_declarationContext,1
Schema_declarationContext,1
Assignment_operatorContext,1
Optimize_for_argContext,1
Try_catch_statementContext,1
Drop_aggregateContext,1
Drop_application_roleContext,1
Drop_assemblyContext,1
Drop_asymmetric_keyContext,1
Drop_availability_groupContext,1
Drop_broker_priorityContext,1
Drop_certificateContext,1
Drop_column_encryption_keyContext,1
Drop_column_master_keyContext,1
Drop_contractContext,1
Drop_credentialContext,1
Drop_cryptograhic_providerContext,1
Drop_databaseContext,1
Drop_database_audit_specificationContext,1
Drop_defaultContext,1
Drop_endpointContext,1
Drop_external_data_sourceContext,1
Drop_external_file_formatContext,1
Drop_external_libraryContext,1
Drop_external_resource_poolContext,1
Alter_resource_governorContext,1
Drop_external_tableContext,1
Drop_event_notificationsContext,1
Drop_event_sessionContext,1
Drop_fulltext_indexContext,1
Drop_fulltext_stoplistContext,1
Drop_loginContext,1
Drop_master_keyContext,1
Drop_message_typeContext,1
Drop_partition_functionContext,1
Drop_partition_schemeContext,1
Drop_queueContext,1
Drop_remote_service_bindingContext,1
Drop_resource_poolContext,1
Drop_db_roleContext,1
Drop_routeContext,1
Drop_schemaContext,1
Drop_search_property_listContext,1
Drop_security_policyContext,1
Drop_sequenceContext,1
Drop_server_auditContext,1
Drop_server_audit_specificationContext,1
Drop_server_roleContext,1
Drop_serviceContext,1
Drop_signatureContext,1
Drop_statisticsContext,1
Drop_symmetric_keyContext,1
Drop_synonymContext,1
Drop_dml_triggerContext,1
Drop_triggerContext,1
Drop_userContext,1
Drop_workload_groupContext,1
Drop_xml_schema_collectionContext,1
Alter_schema_sqlContext,1
Alter_schema_azure_sql_dw_and_pdwContext,1
Create_schemaContext,1
Raiseerror_statementContext,1
Create_or_alter_dml_triggerContext,1
Create_or_alter_triggerContext,1
Dml_trigger_operationContext,1
Return_statementContext,1
Create_or_alter_ddl_triggerContext,1
Ddl_trigger_operationContext,1
Drop_ddl_triggerContext,1
Disable_triggerContext,1
Enable_triggerContext,1
Truncate_tableContext,1
Create_ruleContext,1
Alter_login_azure_sqlContext,1
Alter_login_sql_serverContext,1
Create_login_azure_sqlContext,1
Create_login_pdwContext,1
Create_login_sql_serverContext,1
Create_certificateContext,1
Security_statementContext,1
Generate_new_keysContext,1
Date_optionsContext,1
Row_or_range_clauseContext,1
Window_frame_extentContext,1
Window_frame_precedingContext,1
Window_frame_boundContext,1
Window_frame_followingContext,1
ISNULLContext,1
Declare_set_cursor_common_partialContext,1
Throw_statementContext,1
Throw_error_numberContext,1
Throw_messageContext,1
Throw_stateContext,1
Waitfor_statementContext,1
TimeContext,1
Receive_statementContext,1
Break_statementContext,1
Continue_statementContext,1
Alter_application_roleContext,1
Create_application_roleContext,1
Analytic_windowed_functionContext,1
ANALYTIC_WINDOWED_FUNCContext,1
Alter_db_roleContext,1
Create_db_roleContext,1
